Metric,Kendalls_W,Chi_square,df,p_value
ACC,0.95,19.0,5,0.0019221368209430402
BA,0.9785714285714285,19.57142857142857,5,0.0015035421746919845
F1,0.9785714285714285,19.57142857142857,5,0.0015035421746919845
Recall,0.9785714285714285,19.57142857142857,5,0.0015035421746919845
Precision,0.95,19.0,5,0.0019221368209430402
